Module,log node,key word
[nwi3]check upload start,nwi3,OMS-1028_operation_30976_1:Starting upload operation to NE PLMN-PLMN/OMS-1028 . Uploadtype = configuration
[nwi3]check activate NE start,nwi3,"Activating network element. Url: https://10.8.85.207/Insec_SessionManager_V1.ior, port: 443, DN: PLMN-PLMN/OMS-1028"
[nwi3]check activate NE end and register start,nwi3,"NWI3 mediator NE-OMS-1028 activated, waiting for registration to complete for mediator [dn=PLMN-PLMN/OMS-1028]"
[nwi3]check register NE end,nwi3,"NWI3 mediator NE-OMS-1028 notified with status ""registered"""
[nwi3]check register NE end,nwi3,2016-04-14  |  06:32:45  |  06:32:46  |  0.239000  |        NE-OMS-1028 |             register | SUCCEEDED
[nwi3]check register NE end,nwi3,NWI3 mediator NE-OMS-1028 @10.8.85.207 registered
[nwi3]check topology upload start,nwi3,"uploadNwi3Topology, getOutMessageContent of topologyUploadBean."
[nwi3]check topology upload end,nwi3,"MOCH operation finished succesfully for element NE-OMS-1028. [startTime=Thu Apr 14 06:32:48 EEST 2016, endTime=Thu Apr 14 06:32:49 EEST 2016, objectCount=17, speed=0.0 objects/sec]"
[nwi3]check topology upload end,nwi3,Scope [ALL] and OCoS operation [CREATE] ==> NWI3 Operation [UPLOAD]
[nwi3]check alarm upload start,nwi3,NE-OMS-1028_100152.6.697780928603432:Starting upload operation to NE PLMN-PLMN/OMS-1028 . Uploadtype = active_faults
[nwi3]check alarm upload end,nwi3,"NE-OMS-1028_100152.6.697780928603432: Alarm synchronization succeeds, stopping uploading.(endAlarmupload)"
[nwi3]check upload end,nwi3,NE-OMS-1028_100152.6.697780928603432: NE PLMN-PLMN/OMS-1028 upload operation successful.
